Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC48992,5,CuO,nanoparticle,0.000000153,,,,,,,,
ATC48992,6,CuO,nanoparticle,0.000000095,Escherichia coli,,,,,,,
ATC48992,7,CuO,nanoparticle,0.000000153,Escherichia coli,,,,,,,
ATC48992,8,CuO,nanoparticle,0.000000095,Pseudomonas aeruginosa,,,,,,,
ATC48992,9,CuO,nanoparticle,0.000000153,Pseudomonas aeruginosa,,,,,,,
ATC48992,10,CuO,nanoparticle,0.000000095,Staphylococcus epidermidis,,,,,,,
ATC48992,11,CuO,nanoparticle,0.000000153,Staphylococcus epidermidis,,,,,,,
ATC48994,0,Ag,nanoparticle,,,,,,,,,
ATC48995,0,Se,nanoparticle,0.000000056,Escherichia coli,,-0.02236,,,,,
ATC48998,0,Au,nanoparticle,,,,,,,,,
ATC49004,0,Ag,nanoparticle,0.00000007,,,,,,,,
ATC49004,1,Ag,nanoparticle,0.00000007,,,,,,,,
ATC49004,2,Ag,nanoparticle,0.00000007,,,,,,,,
ATC49005,0,Au,nanoparticle,,,,,,,,,
ATC49007,0,ZnO,nanoparticle,,,,,,,,,
ATC49009,0,ZnO,nanoparticle,,,,,,,,,
ATC49010,0,SiO2,nanoparticle,,,,,,,,,
ATC49018,0,Ag,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC49018,1,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC49019,0,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC49029,0,Ag,nanoparticle,,Pseudomonas aeruginosa,,,,,0.001406,,0.002813
ATC49044,0,Pt,nanoparticle,,,,,,,,,
ATC49044,1,Rh,nanoparticle,,,,,,,,,
ATC49048,0,Au,nanoparticle,,,,,,,,,
ATC49048,1,Au,nanoparticle,,,,,,,,,
ATC49104,0,ZnO,nanoparticle,,,,,,,,,
ATC49109,0,ZnO,nanoparticle,,,,,,,,,
ATC49109,1,ZnO,nanoparticle,,,,,,,,,
ATC49118,0,TiO2,nanoparticle,,,,,,,,,
ATC49124,0,CuO,nanoparticle,0.00000004,,,,,,,,
ATC49124,1,CuO,nanoparticle,,,,,,,,,
ATC49124,2,CuO,nanoparticle,0.00000004,,,,,,,,
ATC49124,3,CuO,nanoparticle,,,,,,,,,
ATC49133,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC49135,1,TiO2,nanoparticle,,,,,,,,,
ATC49139,0,Ag,nanoparticle,0.00000003,Escherichia coli,,,,,,,
ATC49140,0,Pt,nanoparticle,,,,,,,,,
ATC49141,0,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC49146,0,Ag,nanoparticle,0.000000023,Escherichia coli,,-0.0187,,,,,
ATC49146,1,Ag,nanoparticle,0.000000023,Escherichia coli,,-0.0187,,,,,
ATC49151,0,Fe3O4,nanoparticle,,,,,,,,,
ATC49152,0,Au,nanoparticle,,,,,,,,,
