Filename,Counter,nanomaterial_composition,nanomaterial_morphology,nanomaterial_size,biological_species,toxic_lc50,nanomaterial_zeta_potential,biofilms_killing_perc,microbe_killing_log,microbe_killing_mic,nanomaterial_surface_area,microbe_killing_mbc
ATC01968,12,C,nanotube,,,,,,,,58.74,
ATC01968,13,Ag,nanoparticle,,,,,,,,58.74,
ATC01968,14,Ag,nanoparticle,,,,,,,,58.74,
ATC01968,15,Ag,nanoparticle,,,,,,,,58.74,
ATC01968,16,Ag,nanoparticle,,,,,,,,58.74,
ATC01968,17,C,nanotube,,,,,,,,58.74,
ATC01969,0,Au,nanorod,,,,,,,,,
ATC01969,1,Au,nanorod,,,,,,,,,
ATC01969,2,Au,nanorod,,,,,,,,,
ATC01969,3,Au,nanorod,,,,,,,,,
ATC01969,4,Au,nanorod,,,,,,,,,
ATC01972,0,Ag,nanoparticle,,Carassius carassius,,,,,,,
ATC01972,1,Ag,nanoparticle,,Crucian carp,,,,,,,
ATC01973,0,Ag,nanowire,,,,,,,,,
ATC01973,1,Ag,nanowire,,Escherichia coli,,,,,,,
ATC01974,0,Zn,nanotube,0.000000017,,,,,,,,
ATC01974,1,Zn,nanotube,0.000000017,,,,,,,,
ATC01974,2,ZnO,nanotube,0.000000017,Escherichia coli,,,,,,,
ATC01974,3,ZnO,nanotube,0.000000017,Staphylococcus aureus,,,,,,,
ATC01977,0,Ag,nanoparticle,,,,,,,,,
ATC01980,1,WS2,nanosheet,,,,,,,,,
ATC01980,2,Au,nanoparticle,,,,,,,,,
ATC01981,0,Ag,nanoparticle,,Daphnia galeata,,,,,,,
ATC01981,1,Ag,nanoparticle,,,,,,,,,
ATC01981,2,Ag,nanoparticle,,,,,,,,,
ATC01982,0,Ag,nanoparticle,0.000000015,,,-0.0336,,,,,
ATC01982,1,Ag,nanoparticle,0.000000015,,,-0.0336,,,,,
ATC01982,2,Ag,nanoparticle,0.000000015,,,-0.0336,,,,,
ATC01982,3,Ag,nanoparticle,0.000000015,,,-0.0336,,,,,
ATC01985,0,CuS,nanosheet,,Bacillus subtilis,,,,,,,
ATC01985,1,CuS,nanosheet,,Escherichia coli,,,,,,,
ATC01986,0,Ag,nanofiber,0.000000015,,,,,,,,
ATC01986,1,Ag,nanoparticle,0.000000015,,,,,,,,
ATC01986,2,Mn2O3,nanofiber,,,,,,,,,
ATC01987,0,Ag,nanoparticle,,,,,,,,,
ATC01990,0,CeO2,nanoparticle,,Chironomus riparius,,,,,,,
ATC01990,1,CeO2,nanoparticle,,Daphnia magna,,,,,,,
ATC01990,2,SiO2,nanoparticle,,,,,,,,,
ATC01990,3,SiO2,nanoparticle,,,,,,,,,
ATC01991,0,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,1,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,2,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01991,3,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01991,4,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,5,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,6,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,7,Zn,nanoparticle,0.000000043,,,,,,,,
ATC01991,8,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01991,9,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01991,10,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01991,11,ZnO,nanoparticle,0.000000043,,,,,,,,
ATC01992,0,Cu2S,nanoparticle,,,,,,,,,
ATC01992,1,Cu2S,nanoparticle,,,,,,,,,
ATC01992,4,CuS,nanoparticle,,Escherichia coli,,,,,,,
ATC01992,5,CuS,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC01993,0,Ag,nanoparticle,0.00000008,,,,,,,,
ATC01993,1,Ag,nanoparticle,0.00000008,Acinetobacter baumannii,,,,,,,
ATC01993,2,Ag,nanoparticle,0.00000008,Escherichia coli,,,,,,,
ATC01993,3,Ag,nanoparticle,0.00000008,Pseudomonas aeruginosa,,,,,,,
ATC01993,4,Ag,nanoparticle,0.00000008,Staphylococcus aureus,,,,,,,
ATC01994,0,C,nanotube,,,,,,,,,
ATC01994,1,Ag,nanoparticle,0.000000075,,,,,,,,
ATC01994,2,Ag,nanoparticle,0.000000075,,,,,,,,
ATC02000,0,Ag,nanoparticle,,,,,,,,,
ATC02000,1,Ag,nanoparticle,,,,,,,,,
ATC02000,2,Ag,nanoparticle,,,,,,,,,
ATC02000,3,Ag,nanoparticle,,,,,,,,,
ATC02000,4,Ag,nanoparticle,,,,,,,,,
ATC02000,5,Ag,nanoparticle,,,,,,,,,
ATC02000,6,Ag,nanoparticle,,Beauveria bassiana,,,,,,,
ATC02000,7,Ag,nanoparticle,,Beauveria bassiana,,,,,,,
ATC02002,0,ZnO,nanoparticle,,,,,,,,,
ATC02002,1,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02002,2,ZnO,nanoparticle,,,,,,,,,
ATC02003,0,CuO,nanoparticle,,Caenorhabditis elegans,,,,,,,
ATC02004,2,WxOy,nanoparticle,,,,,,,,,
ATC02004,3,WxOy,nanoparticle,,,,,,,,,
ATC02005,1,C,nanoparticle,,Drosophila melanogaster,,,,,,,
ATC02009,0,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC02009,1,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02010,0,Ag,nanoparticle,0.000000024,,,-0.0181,,,,,
ATC02013,0,MoS2,nanosheet,,,,,,,,,
ATC02013,1,MoS2,nanosheet,,,,,,,,,
ATC02013,2,Mo,nanosheet,,,,,,,,,
ATC02013,3,Mo,nanosheet,,,,,,,,,
ATC02014,0,ZnO,nanorod,0.00000008,Escherichia coli,,,,,,,
ATC02014,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC02018,0,TiO2,nanoparticle,,Danio rerio,,,,,,,
ATC02019,0,TiO2,nanoparticle,,,,,,,,,
ATC02020,0,Ag,nanoparticle,0.00000001,,,,,,,,
ATC02020,1,Ag,nanoparticle,0.00000004,,,,,,,,
ATC02020,2,Ag,nanoparticle,0.000000055,,,,,,,,
ATC02025,0,ZnO,nanorod,,Bacillus subtilis,,,,,,,
ATC02025,1,ZnO,nanorod,,Escherichia coli,,,,,,,
ATC02026,0,Pt,nanoparticle,,,,,,,,,
ATC02028,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC02028,1,Ag,nanoparticle,,Aspergillus tubingensis,,,,,,,
ATC02028,2,Ag,nanoparticle,,Oryza sativa,,,,,,,
ATC02030,0,Ag,nanoparticle,0.000000012,,,,,,,,
ATC02034,0,Fe,nanoparticle,,,,,,,,,
ATC02034,1,Fe,nanoparticle,,,,,,,,,
ATC02036,0,CdSe,dot,,,,,,,,,
ATC02037,0,ZnO,nanoparticle,,Eisenia fetida,,,,,,,
ATC02041,0,Au,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02041,1,Au,nanoparticle,,,,,,,,,
ATC02041,8,Au,nanoparticle,,,,,,,,,
ATC02041,9,Au,nanoparticle,,,,,,,,,
ATC02045,0,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC02045,1,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02048,0,Ag,nanoparticle,0.00000003,Bacillus subtilis,,,,,0.03,,
ATC02048,1,Ag,nanoparticle,0.00000003,Escherichia coli,,,,,0.03,,
ATC02053,0,ZnO,nanoparticle,,,,,,,,,
ATC02055,0,Ag,nanoparticle,0.00000006,Pseudomonas aeruginosa,,,62.25,,,,
ATC02055,1,Ag,nanoparticle,0.00000006,Drosophila melanogaster,,,,,,,
ATC02055,2,Ag,nanoparticle,0.00000006,Bacillus subtilis,,,,,,,
ATC02055,3,Ag,nanoparticle,0.00000006,,,,,,,,
ATC02055,4,Ag,nanoparticle,0.00000006,Staphylococcus aureus,,,,,,,
ATC02058,2,Ag,nanoparticle,,,,,,,,,
ATC02058,3,Ag,nanoparticle,,,,,,,,,
ATC02060,0,Ag,nanoparticle,0.000000058,,,-0.02,,,,,
ATC02060,1,Ag,nanoparticle,0.000000058,,,-0.02,,,,,
ATC02060,2,Ag,nanoparticle,0.000000058,,,-0.02,,,,,
ATC02060,3,Ag,nanoparticle,0.000000058,,,-0.02,,,,,
ATC02060,4,Ag,nanoparticle,0.000000058,,,-0.02,,,,,
ATC02060,5,Ag,nanoparticle,0.000000058,Enterococcus faecalis,,-0.02,,,,,
ATC02062,0,ZnO,nanoparticle,,,,,,,,,
ATC02062,1,ZnO,nanoparticle,,,,,,,,,
ATC02062,2,ZnO,nanoparticle,,,,,,,,,
ATC02063,0,Ag,nanoparticle,0.00000006,Escherichia coli,,,,,0.0375,,
ATC02063,1,Ag,nanocube,0.000000055,Escherichia coli,,,,,0.0375,,
ATC02063,2,Ag,nanosphere,0.00000006,Escherichia coli,,,,,0.0375,,
ATC02063,3,Ag,nanowire,,Escherichia coli,,,,,0.0375,,
ATC02065,0,Ag,nanoparticle,0.000000014,Escherichia coli,,,,,,,
ATC02065,1,Ag,nanoparticle,0.000000014,Staphylococcus aureus,,,,,,,
ATC02066,0,Ag,nanoparticle,0.000000058,Chlorella vulgaris,,,,,0.015,,
ATC02066,1,Ag,nanoparticle,0.000000058,Danio rerio,,,,,0.015,,
ATC02066,2,Ag,nanoparticle,0.000000058,Klebsiella pneumoniae,,,,,0.015,,
ATC02066,3,Ag,nanoparticle,0.000000058,Palaemon pandaliformis,,,,,0.015,,
ATC02066,4,Ag,nanoparticle,0.000000058,,,,,,,,
ATC02066,5,Ag,nanoparticle,0.000000058,Pseudomonas aeruginosa,,,,,0.015,,
ATC02066,6,Ag,nanoparticle,0.000000058,Staphylococcus aureus,,,,,0.015,,
ATC02071,0,TiO2,nanoparticle,,,,,,,,,
ATC02071,1,TiO2,nanoparticle,,,,,,,,,
ATC02071,2,TiO2,nanoparticle,,,,,,,,,
ATC02071,3,TiO2,nanoparticle,,,,,,,,,
ATC02071,4,TiO2,nanoparticle,,,,,,,,,
ATC02071,5,ZnO,nanoparticle,,,,,,,,,
ATC02071,6,ZnO,nanoparticle,,,,,,,,,
ATC02071,7,ZnO,nanoparticle,,,,,,,,,
ATC02071,8,ZnO,nanoparticle,,,,,,,,,
ATC02071,9,ZnO,nanoparticle,,,,,,,,,
ATC02072,0,Ag,nanoparticle,,,,,,,,,
ATC02072,1,Ag,nanoparticle,,Eisenia fetida,,,,,,,
ATC02073,0,Ag,nanoparticle,0.00000005,,,,,,,,
ATC02073,1,Ag,nanoparticle,0.00000005,,,,,,,,
ATC02073,7,Au,nanosheet,,,,,,,,,
ATC02073,8,Au,nanosheet,,,,,,,,,
ATC02073,9,Au,nanosheet,,,,,,,,,
ATC02073,12,Ag,nanoparticle,0.00000005,,,,,,,,
ATC02075,0,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02076,0,Ag,nanoparticle,0.000000023,Bacillus subtilis,,,,,,,
ATC02076,1,Ag,nanoparticle,0.000000023,Staphylococcus aureus,,,,,,,
ATC02076,2,Ag,nanoparticle,0.000000023,Escherichia coli,,,,,,,
ATC02076,3,Ag,nanoparticle,0.000000023,Pseudomonas aeruginosa,,,,,,,
ATC02077,2,ZnO,nanoparticle,,,,,,,,,
ATC02077,3,ZnO,nanoparticle,,,,,,,,,
ATC02082,0,Cu,nanoparticle,,,,,,,,,
ATC02084,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC02085,0,Ag,nanoparticle,0.000000006,Raphidocelis subcapitata,,,,,,,
ATC02086,0,CuO,nanoparticle,,,,,,,,,
ATC02086,1,CuO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC02086,2,CuO,nanoparticle,,Escherichia coli,,,,,,,
ATC02086,3,CuO,nanoparticle,,Salmonella typhi,,,,,,,
ATC02086,4,CuO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02087,0,TiO2,nanoparticle,,,,,,,,,
ATC02089,0,Ag,nanoparticle,0.000000028,Bacillus subtilis,,,,,,,
ATC02089,1,Ag,nanoparticle,0.000000028,Escherichia coli,,,,,,,
ATC02089,2,Ag,nanoparticle,0.000000028,Klebsiella pneumoniae,,,,,,,
ATC02089,3,Ag,nanoparticle,0.000000028,Pseudomonas aeruginosa,,,,,,,
ATC02089,4,Ag,nanoparticle,0.000000028,Staphylococcus aureus,,,,,,,
ATC02091,2,Au,nanoparticle,,,,,,,,,
ATC02091,3,Au,nanoparticle,,,,,,,,,
ATC02091,4,Fe3O4,nanostructure,,,,,,,,,
ATC02091,5,Fe3O4,nanostructure,,,,,,,,,
ATC02093,2,TiO2,nanosheet,,,,,,,,,
ATC02093,3,TiO2,nanosheet,,,,,,,,,
ATC02094,0,ZnO,nanoparticle,0.000000005,Escherichia coli,,,,,,,
ATC02094,1,ZnO,nanoparticle,0.000000005,Staphylococcus aureus,,,,,,,
ATC02094,2,ZnO,nanoparticle,0.000000005,Bacillus subtilis,,,,,,,
ATC02095,0,Ag,nanostructure,,,,,,,,,
ATC02095,1,Ag,nanostructure,,,,,,,,,
ATC02095,2,CeO2,nanostructure,,,,,,,,,
ATC02095,3,CeO2,nanostructure,,,,,,,,,
ATC02096,0,Au,nanocube,,Staphylococcus aureus,,,,,,,
ATC02096,1,Au,nanodisk,,Staphylococcus aureus,,,,,,,
ATC02098,2,Ag,nanowire,,Escherichia coli,,,,,,,
ATC02098,3,Ag,nanowire,,Staphylococcus aureus,,,,,,,
ATC02099,0,Au,nanoparticle,,Danio rerio,,,,,,,
ATC02099,1,Au,nanoparticle,,Daphnia magna,,,,,,,
ATC02099,2,Au,nanoparticle,,Vibrio fischeri,,,,,,,
ATC02102,0,Ag,nanoparticle,,,,,,,,,
ATC02102,1,Ag,nanoparticle,,,,,,,,,
ATC02106,6,Ag,nanoparticle,,,,,,,,,
ATC02106,7,Ag,nanoparticle,,,,,,,,,
ATC02106,8,SiO2,nanosphere,,,,,,,,,
ATC02106,9,SiO2,nanosphere,,,,,,,,,
ATC02109,0,CdTe,dot,,,,,,,,,
ATC02110,0,Ag,nanoparticle,0.000000035,Escherichia coli,,,,,,,
ATC02110,1,Ag,nanoparticle,0.000000035,Staphylococcus aureus,,,,,,,
ATC02112,0,Ag,nanoparticle,0.000000013,Bacillus subtilis,,,,,,,
ATC02112,1,Ag,nanoparticle,0.000000013,Candida albicans,,,,,,,
ATC02112,2,Ag,nanoparticle,0.000000013,Escherichia coli,,,,,,,
ATC02112,3,Ag,nanoparticle,0.000000013,Neisseria gonorrhoeae,,,,,,,
ATC02112,4,Ag,nanoparticle,0.000000013,Pseudomonas aeruginosa,,,,,,,
ATC02112,5,Ag,nanoparticle,0.000000013,Staphylococcus aureus,,,,,,,
ATC02112,6,Ag,nanoparticle,0.000000013,Streptococcus faecalis,,,,,,,
ATC02113,0,Ag,nanoparticle,,,,,,,,,
ATC02113,1,Ag,nanoparticle,,,,,,,,,
ATC02115,0,TiO2,nanoparticle,,Danio rerio,,,,,,,
ATC02119,1,Ag,nanoparticle,0.000000025,Escherichia coli,,,,,,,
ATC02119,2,Ag,nanoparticle,0.000000025,Staphylococcus aureus,,,,,,,
ATC02119,3,Ag,nanoparticle,0.000000025,Monilia albicans,,,,,,,
ATC02120,0,Ag,nanoparticle,,,,,,,,,
ATC02120,1,Ag,nanoparticle,,,,,,,,,
ATC02120,2,Ag,nanoparticle,,,,,,,,,
ATC02120,3,Ag,nanoparticle,,,,,,,,,
ATC02120,4,Ag,nanoparticle,,,,,,,,,
ATC02121,0,Ag,nanosphere,,,,,,,,,
ATC02121,1,Ag,nanowire,,,,,,,,,
ATC02122,0,Ag,nanoparticle,,,,,,,,,
ATC02124,0,TiO2,nanoparticle,,Danio rerio,,,,,,,
ATC02125,0,C,nanotube,,Danio rerio,,,,,,,
ATC02126,0,CeO2,nanoparticle,0.000000043,Eisenia fetida,,,,,,,
ATC02130,0,Au,nanorod,,,,,,,,,
ATC02130,1,Au,nanorod,,,,,,,,,
ATC02131,0,V2O5,nanosphere,0.000000079,,,,,,,63.7,
ATC02131,1,V2O5,nanosphere,0.000000079,,,,,,,63.7,
ATC02133,4,SiO2,nanoparticle,,,,,,,,,
ATC02133,5,SiO2,nanoparticle,,,,,,,,,
ATC02133,6,SiO2,nanosphere,,,,,,,,,
ATC02133,7,SiO2,nanosphere,,,,,,,,,
ATC02137,0,Au,nanoparticle,,,,,,,,,
ATC02138,0,ZnO,nanorod,,Streptococcus thermophilus,,,,,,,
ATC02138,1,ZnO,nanorod,,,,,,,,,
ATC02139,0,MnO,nanostructure,0.000000055,,,,,,,,
ATC02139,1,MnO,nanostructure,0.000000088,,,,,,,,
ATC02139,2,MnO,nanostructure,0.000000055,,,,,,,,
ATC02139,3,MnO,nanostructure,0.000000088,,,,,,,,
ATC02141,0,CuO,nanoparticle,0.000000005,Escherichia coli,,,,,,,
ATC02142,4,TiO2,nanoparticle,0.000000011,Bacillus subtilis,,,,,,,
ATC02142,5,TiO2,nanoparticle,0.000000011,Escherichia coli,,,,,,,
ATC02142,6,TiO2,nanoparticle,0.000000011,,,,,,,,
ATC02142,7,TiO2,nanoparticle,0.000000011,Staphylococcus aureus,,,,,,,
ATC02144,0,Cu,nanoparticle,,,,,,,,,
ATC02144,1,Cu,nanoparticle,,,,,,,,,
ATC02146,0,CuO,nanoparticle,,Escherichia coli,,,,,,,
ATC02146,1,CuO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC02150,0,CoFe2O4,nanoparticle,0.000000036,,,,,,,,
ATC02150,1,CoFe2O4,nanoparticle,0.000000036,,,,,,,,
ATC02150,2,CoFe2O4,nanoparticle,0.000000036,,,,,,,,
ATC02151,4,SiO2,nanofiber,,,,,,,,,
ATC02151,5,SiO2,nanofiber,,,,,,,,,
ATC02151,6,SiO2,nanofiber,0.00000159,,,,,,,,
ATC02151,7,SiO2,nanofiber,,,,,,,,,
ATC02151,18,Ag,nanoparticle,,,,,,,,,
ATC02151,19,Ag,nanoparticle,0.000000013,,,,,,,,
ATC02151,20,Ag,nanoparticle,,,,,,,,,
ATC02151,21,Ag,nanoparticle,0.000000013,,,,,,,,
ATC02155,0,C,nanotube,,,,,,,,,
ATC02155,1,C,nanotube,,,,,,,,,
ATC02155,2,Ag,nanoparticle,,,,,,,,,
ATC02155,3,Ag,nanoparticle,,,,,,,,,
ATC02157,0,Ag,nanowire,0.00000005,,,,,,,,
ATC02157,1,Ag,nanowire,0.00000005,Escherichia coli,,,,,,,
ATC02157,2,Ag,nanowire,0.00000005,Staphylococcus aureus,,,,,,,
ATC02159,0,Ag,nanoparticle,,,,,,,,,
ATC02160,0,C,dot,,,,,,,,,
ATC02160,1,C,dot,,,,,,,,,
ATC02161,2,Ag,nanoribbon,,Bacillus subtilis,,,,,,,
ATC02161,3,Ag,nanoribbon,,Escherichia coli,,,,,,,
ATC02161,4,Ag,nanosheet,,Bacillus subtilis,,,,,,,
ATC02161,5,Ag,nanosheet,,Escherichia coli,,,,,,,
ATC02162,0,C,dot,,,,,,,,,
ATC02162,1,C,dot,,,,,,,,,
ATC02162,6,Ag,nanoparticle,,Escherichia coli,,,,,,,
ATC02162,7,Ag,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02163,0,Zn,nanorod,,,,,,,,,
ATC02163,4,ZnO,nanorod,,Escherichia coli,,,,,,,
ATC02166,0,Fe3O4,nanoparticle,,Daphnia magna,,,,,,,
ATC02169,4,TiO2,nanostructure,,Escherichia coli,,-0.0167,,,,,
ATC02169,5,TiO2,nanostructure,,Staphylococcus aureus,,-0.0167,,,,,
ATC02171,0,Au,nanoparticle,,,,,,,,,
ATC02171,2,Au,nanosphere,,,,,,,,,
ATC02172,6,TiO2,nanotube,0.000000075,,,,,,,,
ATC02172,0,TiO2,nanotube,0.000000075,,,,,,,,
ATC02174,0,ZnO,nanoparticle,,,,,,,,,
ATC02175,0,CuO,nanosheet,0.000000035,Escherichia coli,,,,,,363,
ATC02175,1,CuO,nanosheet,0.000000035,Staphylococcus aureus,,,,,,363,
ATC02176,0,C,nanotube,,,,,,,,,
ATC02176,1,C,nanotube,,,,,,,,,
ATC02177,0,Ag,nanowire,,,,,,,,,
ATC02177,1,Ag,nanowire,,,,,,,,,
ATC02178,0,Ti,nanoparticle,0.000000028,,,,,,,,
ATC02181,0,ZnO,nanostructure,,Bacillus subtilis,,,,,,,
ATC02181,1,ZnO,nanostructure,,Escherichia coli,,,,,,,
ATC02181,2,ZnO,nanostructure,,Klebsiella pneumoniae,,,,,,,
ATC02181,3,ZnO,nanostructure,,Staphylococcus aureus,,,,,,,
ATC02182,0,FexOy,nanoparticle,,Danio rerio,,,,,,,
ATC02183,2,Ag,nanoparticle,,,,,,,,,
ATC02183,3,Ag,nanoparticle,,,,,,,,,
ATC02183,4,SiO2,nanosphere,,,,,,,,,
ATC02183,5,SiO2,nanosphere,,,,,,,,,
ATC02189,0,Cd,nanoparticle,0.000000022,Bacillus subtilis,,,,,,,
ATC02190,0,Ag,nanoparticle,,,,,,,,,
ATC02190,1,CuO,nanoparticle,,Daphnia magna,,,,,,,
ATC02190,3,ZnO,nanoparticle,,Daphnia magna,,,,,,,
ATC02191,1,TiO2,nanoparticle,,Cyprinus carpio,,,,,,,
ATC02193,0,C,nanotube,,,,,,,,,
ATC02193,1,C,nanotube,,,,,,,,,
ATC02193,2,C,nanotube,,,,,,,,,
ATC02196,0,Au,nanorod,,,,,,,,,
ATC02196,1,Au,nanorod,,,,,,,,,
ATC02197,0,TiO2,nanoparticle,0.0000001,Daphnia magna,,,,,,,
ATC02203,1,TiO2,nanoparticle,,Escherichia coli,,,,,,,
ATC02203,2,TiO2,nanorod,,Escherichia coli,,,,,,,
ATC02205,2,Cu,nanoparticle,0.00000003,,,,,,,,
ATC02205,3,Cu,nanoparticle,0.00000003,,,,,,,,
ATC02205,4,CuO,nanoparticle,0.00000003,,,,,,,,
ATC02205,5,CuO,nanoparticle,0.00000003,,,,,,,,
ATC02205,6,CuO,nanoparticle,0.00000003,,,,,,,,
ATC02205,7,CuO,nanoparticle,0.00000003,,,,,,,,
ATC02205,14,Cu,nanoparticle,0.00000003,,,,,,,,
ATC02205,15,Cu,nanoparticle,0.00000003,,,,,,,,
ATC02206,0,CuO,nanoparticle,,,,,,,,,
ATC02206,1,CuO,nanoparticle,,Escherichia coli,,,,,,,
ATC02206,2,CuO,nanoparticle,,Klebsiella pneumoniae,,,,,,,
ATC02206,3,CuO,nanoparticle,,Pseudomonas aeruginosa,,,,,,,
ATC02206,4,CuO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02206,5,CuO,nanoparticle,,,,,,,,,
ATC02208,0,Fe3O4,nanoparticle,,,,,,,,,
ATC02209,2,TiO2,nanoparticle,0.000000009,,,,,,,,
ATC02209,3,TiO2,nanoparticle,0.000000009,,,,,,,,
ATC02210,0,ZnO,nanoparticle,,Daphnia magna,,,,,,,
ATC02211,0,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC02211,1,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02213,0,La2O3,nanofiber,,,,,,,,,
ATC02213,1,La2O3,nanoparticle,,,,,,,,,
ATC02217,0,Zn,nanowire,,,,,,,,,
ATC02217,1,Zn,nanowire,,,,,,,,,
ATC02217,2,ZnO,nanowire,,Escherichia coli,,,,,,,
ATC02217,3,ZnO,nanowire,,Staphylococcus aureus,,,,,,,
ATC02218,0,Ag,nanoparticle,,,,,,,,,
ATC02218,1,Ag,nanoparticle,,,,,,,,,
ATC02220,2,ZnO,nanofiber,,,,,,,,,
ATC02220,3,ZnO,nanofiber,,,,,,,,,
ATC02220,14,ZnO,nanofiber,,,,,,,,,
ATC02220,15,ZnO,nanofiber,,,,,,,,,
ATC02222,1,Ag,nanoparticle,,,,,,,,,
ATC02222,8,ZnO,nanowire,,,,,,,,,
ATC02224,0,Au,nanoparticle,,Danio rerio,,,,,,,
ATC02225,0,ZnO,nanoparticle,,,,,,,,,
ATC02225,1,ZnO,nanoparticle,,,,,,,,,
ATC02226,0,Ag,nanoparticle,,,,,,,,,
ATC02227,0,Ag,nanoparticle,,Danio rerio,,,,,,,
ATC02228,0,Ag,nanoparticle,0.000000005,,,,,,,,
ATC02229,0,SiO2,nanofiber,,,,,,,,,
ATC02229,1,SiO2,nanostructure,,,,,,,,,
ATC02230,0,NiO,nanoparticle,,Chlorella vulgaris,,,,,,,
ATC02232,2,Ag,nanorod,,,,,,,,,
ATC02232,6,CeO2,nanorod,,,,,,,,,
ATC02234,0,C,nanotube,,,,,,,,,
ATC02234,1,C,nanotube,,,,,,,,,
ATC02234,2,TiO2,nanoparticle,,,,,,,,,
ATC02234,3,TiO2,nanoparticle,,,,,,,,,
ATC02235,2,Zn,nanoparticle,,,,,,,,,
ATC02235,3,Zn,nanoparticle,,,,,,,,,
ATC02235,4,ZnO,nanoparticle,,,,,,,,,
ATC02235,5,ZnO,nanoparticle,,,,,,,,,
ATC02235,6,ZnO,nanoparticle,,,,,,,,,
ATC02235,7,ZnO,nanoparticle,,,,,,,,,
ATC02235,22,Zn,nanoparticle,,,,,,,,,
ATC02235,23,Zn,nanoparticle,,,,,,,,,
ATC02236,0,Ag,nanoparticle,0.00000001,Escherichia coli,,,,,,,
ATC02236,1,Ag,nanoparticle,0.00000001,,,,,,,,
ATC02237,0,SiO2,nanoparticle,0.000000025,,,,,,,428,
ATC02238,0,Au,nanoparticle,,,,,,,,,
ATC02238,1,Au,nanoparticle,,,,,,,,,
ATC02238,2,Au,nanoparticle,,,,,,,,,
ATC02238,3,Au,nanoparticle,,,,,,,,,
ATC02239,0,Ag,nanoparticle,,,,,,,,,
ATC02239,1,Ag,nanoparticle,,,,,,,,,
ATC02242,0,Ag,nanoparticle,,,,,,,,,
ATC02242,1,Ag,nanoparticle,,,,,,,,,
ATC02244,0,C,nanotube,,,,,,,,,
ATC02245,0,Au,nanoparticle,,,,,,,,,
ATC02248,0,ZrO2,nanoparticle,0.000000018,Danio rerio,,,,,,,
ATC02249,0,C,nanotube,,,,,,,,,
ATC02249,1,C,nanotube,,,,,,,,,
ATC02249,2,C,nanotube,,,,,,,,,
ATC02249,3,C,nanotube,,,,,,,,,
ATC02249,4,C,nanotube,,,,,,,,,
ATC02251,0,TiO2,nanoparticle,,,,,,,,,
ATC02252,0,SiO2,nanoparticle,,,,,,,,,
ATC02255,0,Cu,nanoparticle,0.000000087,Oncorhynchus mykiss,,,,,,,
ATC02256,0,Au,nanoparticle,,Chara zeylanica,,,,,,,
ATC02256,1,Au,nanoparticle,,Ulva intestinalis,,,,,,,
ATC02256,2,Au,nanorod,,Chara zeylanica,,,,,,,
ATC02256,3,Au,nanorod,,Ulva intestinalis,,,,,,,
ATC02257,0,Au,nanoparticle,,,,,,,,,
ATC02257,1,Au,nanoparticle,,,,,,,,,
ATC02259,0,Ag,nanoparticle,,Daphnia magna,,,,,,,
ATC02261,0,Ag,nanoparticle,,,,,,,,,
ATC02262,1,TiO2,nanoparticle,,,,,,,,,
ATC02264,0,ZnO,nanoparticle,,Bacillus subtilis,,,,,,,
ATC02264,1,ZnO,nanoparticle,,Escherichia coli,,,,,,,
ATC02264,2,ZnO,nanoparticle,,Staphylococcus aureus,,,,,,,
ATC02265,0,TiO2,nanoparticle,,,,,,,,,
ATC02265,1,TiO2,nanoparticle,,,,,,,,,
ATC02266,4,Ag2O,nanoparticle,0.000000013,,,,,,,,
ATC02266,5,Ag2O,nanoparticle,0.000000013,,,,,,,,
ATC02266,10,TiO2,nanotube,,,,,,,,,
ATC02266,11,TiO2,nanotube,,,,,,,,,
ATC02267,3,ZnO,nanorod,0.000000223,Escherichia coli,,,,,,,
ATC02267,4,ZnO,nanorod,0.000000223,Staphylococcus aureus,,,,,,,
