,article_doi,Publication Year
ATC000246,doi:10.1016/j.biomaterials.2016.06.019,2016
ATC000247,doi:10.1016/j.apsusc.2024.159958,2024
ATC000248,doi:10.1016/j.nano.2023.102685,2023
ATC000249,doi:10.1016/j.marpolbul.2017.12.039,2018
ATC000250,doi:10.1016/j.mimet.2023.106773,2023
ATC000251,doi:10.1016/j.colsurfb.2018.01.019,2018
ATC000252,doi:10.1016/j.biortech.2024.130796,2024
ATC000253,doi:10.1016/j.msec.2018.08.009,2018
ATC000254,doi:10.1016/j.seppur.2013.02.022,2013
ATC000255,doi:10.1016/j.jphotochem.2023.114835,2023
ATC000256,doi:10.1016/j.aquatox.2022.106333,2022
ATC000257,doi:10.1016/j.snb.2014.01.004,2014
ATC000258,doi:10.1016/j.arabjc.2022.104274,2022
ATC000259,doi:10.1016/j.surfcoat.2010.04.048,2010
ATC000260,doi:10.1016/j.saa.2022.122036,2023
ATC000261,doi:10.1016/j.indcrop.2012.04.017,2013
ATC000262,doi:10.1016/j.jbiotec.2019.06.304,2019
ATC000263,doi:10.1016/j.jbiotec.2014.07.017,2014
ATC000264,doi:10.1016/j.envpol.2018.09.020,2018
ATC000265,doi:10.1016/j.jenvman.2019.04.104,2019
ATC000266,doi:10.1016/j.inoche.2024.112284,2024
ATC000267,doi:10.1016/j.snb.2022.133182,2023
ATC000268,doi:10.1016/j.ijbiomac.2020.06.163,2020
ATC000269,doi:10.1016/j.ijantimicag.2010.08.015,2010
ATC000270,doi:10.1016/j.surfcoat.2019.124998,2019
ATC000271,doi:10.1016/j.jphotobiol.2023.112650,2023
ATC000272,doi:10.1016/j.msec.2014.11.035,2015
ATC000273,doi:10.1016/j.snb.2014.02.027,2014
ATC000274,doi:10.1016/j.micromeso.2021.111307,2021
ATC000275,doi:10.1016/j.diamond.2023.110763,2024
ATC000276,doi:10.1016/j.ica.2018.06.049,2018
ATC000277,doi:10.1016/j.memsci.2017.06.071,2017
ATC000278,doi:10.1016/j.sjbs.2020.09.017,2020
ATC000279,doi:10.1016/j.aquatox.2020.105652,2020
ATC000280,doi:10.1016/j.ijbiomac.2021.07.091,2021
ATC000281,doi:10.1016/j.ceramint.2023.07.065,2023
ATC000282,doi:10.1016/j.etap.2024.104371,2024
ATC000283,doi:10.1016/j.niox.2016.12.010,2017
ATC000284,doi:10.1016/j.mtla.2019.100490,2019
ATC000285,doi:10.1016/j.scitotenv.2014.08.068,2014
ATC000286,doi:10.1016/j.jcis.2009.08.024,2009
ATC000287,doi:10.1016/j.jhazmat.2012.05.039,2012
ATC000288,doi:10.1016/j.jece.2024.113017,2024
ATC000289,doi:10.1016/j.ijbiomac.2017.08.077,2018
ATC000290,doi:10.1016/j.bios.2021.113740,2022
ATC000291,doi:10.1016/j.jhazmat.2011.06.044,2011
ATC000292,doi:10.1016/j.jhazmat.2018.08.040,2019
ATC000293,doi:10.1016/j.seppur.2022.122291,2022
ATC000294,doi:10.1016/j.scp.2023.101031,2023
ATC000295,doi:10.1016/j.scitotenv.2023.165955,2023
ATC000296,doi:10.1016/j.saa.2022.121280,2022
ATC000297,doi:10.1016/j.aquatox.2011.07.007,2012
ATC000298,doi:10.1016/j.jphotochem.2016.10.008,2017
ATC000299,doi:10.1016/j.ijbiomac.2022.06.058,2022
ATC000300,doi:10.1016/j.actbio.2023.11.009,2024
ATC000301,doi:10.1016/j.scitotenv.2023.167249,2023
ATC000302,doi:10.1016/j.hermed.2019.100289,2020
ATC000303,doi:10.1016/j.scitotenv.2020.140450,2020
ATC000304,doi:10.1016/j.partic.2023.07.018,2024
ATC000305,doi:10.1016/j.fpsl.2018.12.002,2019
ATC000306,doi:10.1016/j.eti.2023.103113,2023
ATC000307,doi:10.1016/S2666-5247(22)00282-8,2022
ATC000308,doi:10.1016/j.snb.2016.04.029,2016
ATC000309,doi:10.1016/j.carbpol.2023.121558,2024
ATC000310,doi:10.1016/j.impact.2016.06.005,2016
ATC000311,doi:10.1016/j.msec.2017.03.014,2017
ATC000312,doi:10.1016/j.jddst.2024.105641,2024
ATC000313,doi:10.1016/j.aoas.2021.01.006,2021
ATC000314,doi:10.1016/j.matchemphys.2022.126279,2022
ATC000315,doi:10.1016/j.jphotobiol.2020.111799,2020
ATC000316,doi:10.1016/j.bbadva.2023.100080,2023
ATC000317,doi:10.1016/j.memsci.2022.120721,2022
ATC000318,doi:10.1016/j.jtice.2016.08.024,2016
ATC000319,doi:10.1016/j.biomaterials.2009.07.067,2009
ATC000320,doi:10.1016/j.aquaculture.2009.02.044,2009
